# Beastbound Odyssey R0.01 worktree inventory
# captured_at=2026-08-20T02:26:58+08:00
# local_head=1f22eded5a2c72191d57ac5eb2e4edfbcd75ad91
# origin_main=ddcb4ff770093d0ae1533631f6371b11e1ce4f30
# merge_base=1f22eded5a2c72191d57ac5eb2e4edfbcd75ad91
# ahead_behind=0	4
# scope=union(git status --untracked-files=all, git diff HEAD..origin/main)
# output files phase_489 and this manifest were created after the frozen input snapshot
local_status	remote_delta	origin_mode	origin_blob	worktree_mode	worktree_blob	relation	batch	path
M	yes	100644	a3157928a4d1d070d065115374022fe3ad9510b1	100644	a3157928a4d1d070d065115374022fe3ad9510b1	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/references/licensed-layer-bundle-contract.md
M	yes	100644	07c27d455359b1035d6f06f1a7aef83d7708848e	100644	07c27d455359b1035d6f06f1a7aef83d7708848e	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/references/production-contract.md
M	yes	100644	42dded82e0bf03fddcef2db7a5a0a955fa89509e	100644	42dded82e0bf03fddcef2db7a5a0a955fa89509e	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/references/runtime-cue-contract.md
M	yes	100644	6fde780483986e28ca44ed9bce3cc54417e4f6be	100644	6fde780483986e28ca44ed9bce3cc54417e4f6be	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/scripts/audit_audio_bundle.py
M	yes	100644	c6ca0867bb6dcaf19d4320ce13c85638d4a5198d	100644	c6ca0867bb6dcaf19d4320ce13c85638d4a5198d	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/scripts/build_cc0_audio_bundle.py
M	yes	100644	1aaf4e581799215c8802a2deb582804f398b1555	100644	1aaf4e581799215c8802a2deb582804f398b1555	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/SKILL.md
M	yes	100644	4c4d79ba2111472d7b55e1a4b1cf6af4fe66c6e2	100644	4c4d79ba2111472d7b55e1a4b1cf6af4fe66c6e2	published_identical	published_origin_main	.agents/skills/design-beastbound-audio/tests/test_audio_pipeline.py
M	yes	100644	11ca3110ee9e03f4d1635ceaae36db99119a99d9	100644	3fcfbda5919457dbb6d548365bb314776bbce7bf	differs_from_origin	firebud_v2_owner_candidate	.agents/skills/design-beastbound-maps/references/bundle-schema.md
M	yes	100644	8bdd33bdad8f85836a29a78c86b796be50d47c27	100644	26e397fc30f62382da9fac334fdfe5a34464c09e	differs_from_origin	firebud_v2_owner_candidate	.agents/skills/design-beastbound-maps/references/production-contract.md
M	yes	100644	d5d4037f376d115ec34681dfab85dc31575b52ee	100644	d9584efc4eac7712d4464e2b5772619e6727fcff	differs_from_origin	firebud_v2_owner_candidate	.agents/skills/design-beastbound-maps/scripts/audit_map_bundle.py
M	yes	100644	a7e2129d605ae1ec8d7ef49b18e279a5e12f7182	100644	0ac011b5682e3fb298e71ff05e414fd0cc498b6f	differs_from_origin	firebud_v2_owner_candidate	.agents/skills/design-beastbound-maps/tests/test_audit_map_bundle.py
M	yes	100644	53ddf33a0bf8898a83fc993e3a9ab60c62977b2e	100644	53ddf33a0bf8898a83fc993e3a9ab60c62977b2e	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/ATTRIBUTION.md
M	yes	100644	a405fc24d4b3ce6b8faad603d7e75edca2b165a5	100644	a405fc24d4b3ce6b8faad603d7e75edca2b165a5	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/audio-cues.json
M	yes	100644	219b946c24c82d72e10ae373a041da90f6bed470	100644	219b946c24c82d72e10ae373a041da90f6bed470	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/audit-report.json
??	yes	100644	0ff7d03ee5a17af8ba13135c27edc87a43ad7852	100644	0ff7d03ee5a17af8ba13135c27edc87a43ad7852	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/runtime/ambience/cave_loop.ogg
??	yes	100644	5c3d8778ad6a9499eeb3bbb22c4b93b6749db573	100644	5c3d8778ad6a9499eeb3bbb22c4b93b6749db573	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/runtime/ambience/town_loop.ogg
??	yes	100644	7fe22a3dabef3d33673a81c3d23b4cfa8f836a14	100644	7fe22a3dabef3d33673a81c3d23b4cfa8f836a14	published_identical	published_origin_main	client/godot/assets/audio/beastbound_audio_v2/runtime/ambience/wilderness_loop.ogg
